	County	CountyName	StateAbbr	WinningCounty_2016	WinningParty_2016	WinningCounty_2012	WinningParty_2012	WinningCounty_2008	WinningParty_2008	WinningCounty_2004	WinningParty_2004	WinningCounty_2000	WinningParty_2000	WinningCounty_1996	WinningParty_1996	WinningCounty_1992	WinningParty_1992	durability	index	USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
0		Federal Overseas County	HI									DEMOCRAIC	REPUBLICAN					0											
1	1001	Autauga County	AL	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	0	0.0	AL	1001.0	161526.0	Autauga County	1539589643.0	25769317.0	594.439	9.95	32.532237	-86.64644
2	1003	Baldwin County	AL	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	0	1.0	AL	1003.0	161527.0	Baldwin County	4117584013.0	1133129224.0	1589.808	437.504	30.659218	-87.74606700000001
3	1005	Barbour County	AL	REPUBLICAN	REPUBLICAN	DEMOCRAIC	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	DEMOCRAIC	REPUBLICAN	DEMOCRAIC	DEMOCRATIC	DEMOCRAIC	DEMOCRATIC	3	2.0	AL	1005.0	161528.0	Barbour County	2291820706.0	50864677.0	884.877	19.639	31.870253	-85.40510400000001
4	1007	Bibb County	AL	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	0	3.0	AL	1007.0	161529.0	Bibb County	1612481559.0	9287974.0	622.5830000000001	3.5860000000000003	33.015893	-87.12714799999999
5	1009	Blount County	AL	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	0	4.0	AL	1009.0	161530.0	Blount County	1670041875.0	15077458.0	644.807	5.821000000000001	33.977358	-86.56644
6	1011	Bullock County	AL	DEMOCRAIC	REPUBLICAN	DEMOCRAIC	DEMOCRATIC	DEMOCRAIC	DEMOCRATIC	DEMOCRAIC	REPUBLICAN	DEMOCRAIC	REPUBLICAN	DEMOCRAIC	DEMOCRATIC	DEMOCRAIC	DEMOCRATIC	0	5.0	AL	1011.0	161531.0	Bullock County	1613059135.0	6055023.0	622.806	2.338	32.101759	-85.717261
7	1013	Butler County	AL	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRAIC	DEMOCRATIC	DEMOCRAIC	DEMOCRATIC	1	6.0	AL	1013.0	161532.0	Butler County	2011976232.0	2727475.0	776.828	1.053	31.751666999999998	-86.681969
8	1015	Calhoun County	AL	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	0	7.0	AL	1015.0	161533.0	Calhoun County	1569245411.0	16568577.0	605.889	6.397	33.771706	-85.822513
9	1017	Chambers County	AL	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRATIC	REPUBLICAN	DEMOCRATIC	REPUBLICAN	REPUBLICAN	REPUBLICAN	REPUBLICAN	DEMOCRAIC	DEMOCRATIC	DEMOCRAIC	DEMOCRATIC	1	8.0	AL	1017.0	161534.0	Chambers County	1545009121.0	17048126.0	596.531	6.582000000000001	32.915504	-85.394032
